date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:21:19	2617/2617	---M--	200	added ('OK')	image/png	etag:W/%22a39-5b86bd04c72ef%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-152x152.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-152x152.png	(from https://www.pluralsight.com/)
06:21:20	2901/2901	---M--	200	added ('OK')	image/png	etag:%22b6a-5b86abee1b29a%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-180x180.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-180x180.png	(from https://www.pluralsight.com/)
06:21:21	1109/1109	---M--	200	added ('OK')	image/png	etag:W/%2246a-5b86abd16fa86%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/favicon-32x32.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/favicon-32x32.png	(from https://www.pluralsight.com/)
06:21:22	3914/3914	---M--	200	added ('OK')	image/png	etag:%22f5f-5b86abe831fd7%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/android-chrome-192x192.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/android-chrome-192x192.png	(from https://www.pluralsight.com/)
06:21:23	2546/2546	---M--	200	added ('OK')	image/png	etag:W/%22a07-5b86abd341138%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/favicon-96x96.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/favicon-96x96.png	(from https://www.pluralsight.com/)
06:21:24	598/598	---M--	200	added ('OK')	image/png	etag:%22284-5b86abc5e847e%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/favicon-16x16.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/favicon-16x16.png	(from https://www.pluralsight.com/)
06:21:25	1090/1090	---M-Z	200	added ('OK')	application/json	etag:%22442-5b86bce78e162-gzip%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/manifest.json	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/manifest.json	(from https://www.pluralsight.com/)
06:21:26	2069/2069	---M-Z	200	added ('OK')	image/svg+xml	etag:%22815-5b86ac20c5b07-gzip%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/safari-pinned-tab.svg	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/safari-pinned-tab.svg	(from https://www.pluralsight.com/)
06:21:27	15086/15086	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5b86abe5db1ad-gzip%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/favicon.ico	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/favicon.ico	(from https://www.pluralsight.com/)
06:21:29	116047/116047	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:12%20GMT	https://www.pluralsight.com/product/skills	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/skills.html	(from https://www.pluralsight.com/)
06:21:29	3876/3876	---M--	200	added ('OK')	image/png	etag:W/%221a50-5b86abce525ee%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/Skill_logo_white.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/Skill_logo_white.png	(from https://www.pluralsight.com/)
06:21:31	152009/152009	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:20:45%20GMT	https://www.pluralsight.com/product/skills/personal	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/skills/personal.html	(from https://www.pluralsight.com/)
06:21:32	105701/105701	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:31%20GMT	https://www.pluralsight.com/product/skills/software-dev	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/skills/software-dev.html	(from https://www.pluralsight.com/)
06:21:33	107727/107727	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:32%20GMT	https://www.pluralsight.com/product/skills/it-ops	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/skills/it-ops.html	(from https://www.pluralsight.com/)
06:21:34	105109/105109	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:33%20GMT	https://www.pluralsight.com/product/skills/security	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/skills/security.html	(from https://www.pluralsight.com/)
06:21:35	204437/204437	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:20:53%20GMT	https://www.pluralsight.com/pricing/skills	/home/long/Desktop/tyxoa4/www.pluralsight.com/pricing/skills.html	(from https://www.pluralsight.com/)
06:21:36	3510/3510	---M--	200	added ('OK')	image/png	etag:W/%2211ff-5b86abce8b3fb%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/Flow_Logo_white.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/Flow_Logo_white.png	(from https://www.pluralsight.com/)
06:21:37	117070/117070	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:35%20GMT	https://www.pluralsight.com/product/flow	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/flow.html	(from https://www.pluralsight.com/)
06:21:38	112766/112766	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:37%20GMT	https://www.pluralsight.com/product/flow/managers	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/flow/managers.html	(from https://www.pluralsight.com/)
06:21:39	103561/103561	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:38%20GMT	https://www.pluralsight.com/product/flow/engineers	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/flow/engineers.html	(from https://www.pluralsight.com/)
06:21:40	102047/102047	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:39%20GMT	https://www.pluralsight.com/product/flow/product-leaders	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/flow/product-leaders.html	(from https://www.pluralsight.com/)
06:21:41	107646/107646	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:40%20GMT	https://www.pluralsight.com/product/flow/executives	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/flow/executives.html	(from https://www.pluralsight.com/)
06:21:42	90999/90999	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:41%20GMT	https://www.pluralsight.com/pricing/flow	/home/long/Desktop/tyxoa4/www.pluralsight.com/pricing/flow.html	(from https://www.pluralsight.com/)
06:21:44	136993/136993	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:44%20GMT	https://www.pluralsight.com/browse/software-development	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/software-development.html	(from https://www.pluralsight.com/)
06:21:45	136659/136659	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:45%20GMT	https://www.pluralsight.com/browse/it-ops	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/it-ops.html	(from https://www.pluralsight.com/)
06:21:47	136821/136821	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:47%20GMT	https://www.pluralsight.com/browse/data-professional	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/data-professional.html	(from https://www.pluralsight.com/)
06:21:48	135963/135963	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:48%20GMT	https://www.pluralsight.com/browse/information-cyber-security	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/information-cyber-security.html	(from https://www.pluralsight.com/)
06:21:49	134450/134450	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:49%20GMT	https://www.pluralsight.com/browse/software-development/python	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/software-development/python.html	(from https://www.pluralsight.com/)
06:21:51	134497/134497	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:51%20GMT	https://www.pluralsight.com/browse/software-development/javascript	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/software-development/javascript.html	(from https://www.pluralsight.com/)
06:21:53	134669/134669	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:52%20GMT	https://www.pluralsight.com/browse/software-development/java	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/software-development/java.html	(from https://www.pluralsight.com/)
06:21:54	133570/133570	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:54%20GMT	https://www.pluralsight.com/browse/software-development/c-sharp	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/software-development/c-sharp.html	(from https://www.pluralsight.com/)
06:21:55	135551/135551	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:55%20GMT	https://www.pluralsight.com/browse/software-development/web-development	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/software-development/web-development.html	(from https://www.pluralsight.com/)
06:21:57	136409/136409	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:56%20GMT	https://www.pluralsight.com/browse/software-development/mobile-development	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/software-development/mobile-development.html	(from https://www.pluralsight.com/)
06:21:59	85599/85599	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:59%20GMT	https://www.pluralsight.com/browse	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse.html	(from https://www.pluralsight.com/)
06:21:59	108876/108876	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:59%20GMT	https://www.pluralsight.com/paths/javascript-core-language	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/javascript-core-language.html	(from https://www.pluralsight.com/)
06:22:00	68/68	---M--	200	added ('OK')	image/png	etag:W/%223a2-5b86abcec0f79%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/px.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/px.png	(from https://www.pluralsight.com/)
06:22:02	115049/115049	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:01%20GMT	https://www.pluralsight.com/paths/angular-js	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/angular-js.html	(from https://www.pluralsight.com/)
06:22:03	135654/135654	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:02%20GMT	https://www.pluralsight.com/paths/java	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/java.html	(from https://www.pluralsight.com/)
06:22:04	554164/554164	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:04%20GMT	https://www.pluralsight.com/product/paths	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/paths.html	(from https://www.pluralsight.com/)
06:22:04	132410/132410	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:04%20GMT	https://www.pluralsight.com/paths/angular	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/angular.html	(from https://www.pluralsight.com/)
06:22:06	129480/129480	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:05%20GMT	https://www.pluralsight.com/paths/csharp	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/csharp.html	(from https://www.pluralsight.com/)
06:22:07	135088/135088	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:21:42%20GMT	https://www.pluralsight.com/paths/core-python	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/core-python.html	(from https://www.pluralsight.com/)
06:22:08	437917/437917	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:08%20GMT	https://www.pluralsight.com/product/skill-iq	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/skill-iq.html	(from https://www.pluralsight.com/)
06:22:10	136789/136789	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:09%20GMT	https://www.pluralsight.com/browse/it-ops/it-certifications	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/it-ops/it-certifications.html	(from https://www.pluralsight.com/)
06:22:11	135626/135626	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:11%20GMT	https://www.pluralsight.com/browse/it-ops/it-networking	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/it-ops/it-networking.html	(from https://www.pluralsight.com/)
06:22:13	135331/135331	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:12%20GMT	https://www.pluralsight.com/browse/it-ops/security	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/it-ops/security.html	(from https://www.pluralsight.com/)
06:22:14	126797/126797	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:14%20GMT	https://www.pluralsight.com/browse/it-ops/database-administration	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/it-ops/database-administration.html	(from https://www.pluralsight.com/)
06:22:15	135293/135293	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:15%20GMT	https://www.pluralsight.com/browse/it-ops/virtualization	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/it-ops/virtualization.html	(from https://www.pluralsight.com/)
06:22:16	135755/135755	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:16%20GMT	https://www.pluralsight.com/browse/it-ops/servers	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/it-ops/servers.html	(from https://www.pluralsight.com/)
06:22:17	108068/108068	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:17%20GMT	https://www.pluralsight.com/paths/fundamentals-of-it-operations-skill	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/fundamentals-of-it-operations-skill.html	(from https://www.pluralsight.com/)
06:22:17	87072/87072	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:17%20GMT	https://www.pluralsight.com/paths/comptia-a-220-1001-and-220-1002	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/comptia-a-220-1001-and-220-1002.html	(from https://www.pluralsight.com/)
06:22:19	76552/76552	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:18%20GMT	https://www.pluralsight.com/paths/comptia-network-n10-007	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/comptia-network-n10-007.html	(from https://www.pluralsight.com/)
06:22:20	98006/98006	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:19%20GMT	https://www.pluralsight.com/paths/planning-microsoft-azure-infrastructure	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/planning-microsoft-azure-infrastructure.html	(from https://www.pluralsight.com/)
06:22:21	103201/103201	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:20%20GMT	https://www.pluralsight.com/paths/networking-fundamentals	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/networking-fundamentals.html	(from https://www.pluralsight.com/)
06:22:21	108548/108548	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:21%20GMT	https://www.pluralsight.com/paths/understanding-devops	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/understanding-devops.html	(from https://www.pluralsight.com/)
06:22:22	252/252	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jan%202021%2023:22:22%20GMT	https://www.pluralsight.com/product/pluralsight-iq	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/pluralsight-iq	(from https://www.pluralsight.com/)
06:22:24	134839/134839	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:24%20GMT	https://www.pluralsight.com/browse/data-professional/big-data	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/data-professional/big-data.html	(from https://www.pluralsight.com/)
06:22:25	136125/136125	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:25%20GMT	https://www.pluralsight.com/browse/data-professional/business-intelligence-data-pro	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/data-professional/business-intelligence-data-pro.html	(from https://www.pluralsight.com/)
06:22:27	135602/135602	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:26%20GMT	https://www.pluralsight.com/browse/data-professional/sql	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/data-professional/sql.html	(from https://www.pluralsight.com/)
06:22:28	132359/132359	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:28%20GMT	https://www.pluralsight.com/browse/data-professional/tableau	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/data-professional/tableau.html	(from https://www.pluralsight.com/)
06:22:29	134505/134505	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:29%20GMT	https://www.pluralsight.com/browse/data-professional/oracle	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/data-professional/oracle.html	(from https://www.pluralsight.com/)
06:22:31	135167/135167	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:31%20GMT	https://www.pluralsight.com/browse/data-professional/sql-server	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/data-professional/sql-server.html	(from https://www.pluralsight.com/)
06:22:32	107055/107055	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:32%20GMT	https://www.pluralsight.com/paths/the-scrum-framework	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/the-scrum-framework.html	(from https://www.pluralsight.com/)
06:22:33	109054/109054	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:33%20GMT	https://www.pluralsight.com/paths/microsoft-azure-compute-for-developers	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/microsoft-azure-compute-for-developers.html	(from https://www.pluralsight.com/)
06:22:34	123953/123953	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:34%20GMT	https://www.pluralsight.com/paths/upgrading-your-technology-career-skill	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/upgrading-your-technology-career-skill.html	(from https://www.pluralsight.com/)
06:22:34	102908/102908	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:34%20GMT	https://www.pluralsight.com/paths/mysql	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/mysql.html	(from https://www.pluralsight.com/)
06:22:36	110930/110930	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:35%20GMT	https://www.pluralsight.com/paths/google-android-associate-developer-aad	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/google-android-associate-developer-aad.html	(from https://www.pluralsight.com/)
06:22:36	252/252	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jan%202021%2023:22:36%20GMT	https://www.pluralsight.com/product/pluralsight-iq	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/pluralsight-iq	(from https://www.pluralsight.com/)
06:22:38	135708/135708	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:38%20GMT	https://www.pluralsight.com/browse/information-cyber-security/security-certifications	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/information-cyber-security/security-certifications.html	(from https://www.pluralsight.com/)
06:22:39	135287/135287	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:39%20GMT	https://www.pluralsight.com/browse/information-cyber-security/penetration-testing	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/information-cyber-security/penetration-testing.html	(from https://www.pluralsight.com/)
06:22:41	135768/135768	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:41%20GMT	https://www.pluralsight.com/browse/information-cyber-security/security-auditing	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/information-cyber-security/security-auditing.html	(from https://www.pluralsight.com/)
06:22:42	134078/134078	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:42%20GMT	https://www.pluralsight.com/browse/information-cyber-security/malware-analysis	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/information-cyber-security/malware-analysis.html	(from https://www.pluralsight.com/)
06:22:44	135702/135702	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:44%20GMT	https://www.pluralsight.com/browse/information-cyber-security/security-fundamentals	/home/long/Desktop/tyxoa4/www.pluralsight.com/browse/information-cyber-security/security-fundamentals.html	(from https://www.pluralsight.com/)
06:22:44	138325/138325	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:44%20GMT	https://www.pluralsight.com/paths/ethical-hacking-fundamentals	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/ethical-hacking-fundamentals.html	(from https://www.pluralsight.com/)
06:22:46	83173/83173	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:45%20GMT	https://www.pluralsight.com/paths/comptia-cysa-cs0-002	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/comptia-cysa-cs0-002.html	(from https://www.pluralsight.com/)
06:22:47	89523/89523	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:46%20GMT	https://www.pluralsight.com/paths/sscpr-systems-security-certified-practitioner	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/sscpr-systems-security-certified-practitioner.html	(from https://www.pluralsight.com/)
06:22:48	105995/105995	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:47%20GMT	https://www.pluralsight.com/paths/security-fundamentals	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/security-fundamentals.html	(from https://www.pluralsight.com/)
06:22:49	104425/104425	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:22:48%20GMT	https://www.pluralsight.com/paths/security-for-hackers-and-developers	/home/long/Desktop/tyxoa4/www.pluralsight.com/paths/security-for-hackers-and-developers.html	(from https://www.pluralsight.com/)
06:22:49	252/252	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jan%202021%2023:22:49%20GMT	https://www.pluralsight.com/product/pluralsight-iq	/home/long/Desktop/tyxoa4/www.pluralsight.com/product/pluralsight-iq	(from https://www.pluralsight.com/)
